Keyword,URL,Domain,Title,Status Code
telkomsel,https://www.telkomsel.com/,www.telkomsel.com,Telkomsel.com - Is Telkomsel Down Right Now?,200
telkomsel,https://www.telkomsel.com/en,www.telkomsel.com,Telkomsel.com - Is Telkomsel Down Right Now?,200
telkomsel,https://my.telkomsel.com/data-landing,my.telkomsel.com,My.telkomsel.com - Is telkomsel Down Right Now?,200
telkomsel,https://www.telkomsel.com/prabayar,www.telkomsel.com,Telkomsel.com - Is Telkomsel Down Right Now?,200
telkomsel,https://www.telkomsel.com/support/contact-us,www.telkomsel.com,Telkomsel.com - Is Telkomsel Down Right Now?,200
indosat,https://im3.id/portal/id/indexpersonal,im3.id,Im3.id - Is Im3 Down Right Now?,200
indosat,https://ioh.co.id/portal/en/iohindex,ioh.co.id,Ioh.co.id - Is Ioh Down Right Now?,200
indosat,https://myim3app.indosatooredoo.com/,myim3app.indosatooredoo.com,Myim3app.indosatooredoo.com - Is Myim3app Down Right Now?,200
indosat,https://www.indosatooredoo.com/portal/en/signup,www.indosatooredoo.com,Indosatooredoo.com - Is Indosatooredoo Down Right Now?,200
indosat,https://id.wikipedia.org/wiki/Indosat_Ooredoo_Hutchison,id.wikipedia.org,Id.wikipedia.org - Is Id Down Right Now?,200
xl,https://www.xl.co.id/,www.xl.co.id,Xl.co.id - Is Xl Down Right Now?,200
xl,https://www.xl.co.id/bantuan,www.xl.co.id,Xl.co.id - Is Xl Down Right Now?,200
xl,https://store.xl.co.id/,store.xl.co.id,Xl.co.id - Is Xl Down Right Now?,200
xl,https://prioritas.xl.co.id/,prioritas.xl.co.id,Prioritas.xl.co.id - Is Prioritas Down Right Now?,200
xl,https://satu.xl.co.id/,satu.xl.co.id,Satu.xl.co.id - Is Satu Down Right Now?,200
xl,https://help.yahoo.com/kb/search/SLN2244.html?impressions=true,help.yahoo.com,Help.yahoo.com - Is Help Down Right Now?,200
games,https://www.games.co.id/,www.games.co.id,Games.co.id - Is Games Down Right Now?,200
games,https://www.games.co.id/permainan/game-gratis?page=1,www.games.co.id,Games.co.id - Is Games Down Right Now?,200
games,https://www.crazygames.com/,www.crazygames.com,Crazygames.com - Is Crazygames Down Right Now?,200
games,https://poki.com/,poki.com,Poki.com - Is Poki Down Right Now?,200
games,https://www.gamesgames.com/,www.gamesgames.com,Gamesgames.com - Is GamesGames Down Right Now?,200
games,https://help.yahoo.com/kb/search/SLN2244.html?impressions=true,help.yahoo.com,Help.yahoo.com - Is Help Down Right Now?,200
axis,https://www.axis.co.id/,www.axis.co.id,Axis.co.id - Is Axis Down Right Now?,200
axis,https://www.axis.co.id/axisnet,www.axis.co.id,Axis.co.id - Is Axis Down Right Now?,200
axis,https://www.axis.com/,www.axis.com,Axis.com - Is Axis Down Right Now?,200
axis,https://www.axis.co.id/LC/,www.axis.co.id,Axis.co.id - Is Axis Down Right Now?,200
axis,https://www.axis.co.id/produk/paket-internet,www.axis.co.id,Axis.co.id - Is Axis Down Right Now?,200
free,https://www.freepik.com/,www.freepik.com,Freepik.com - Is Freepik Down Right Now?,200
free,https://www.freepik.com/popular-photos,www.freepik.com,Freepik.com - Is Freepik Down Right Now?,200
free,https://www.crazygames.com/,www.crazygames.com,Crazygames.com - Is Crazygames Down Right Now?,200
free,https://www.canva.com/free/,www.canva.com,Canva.com - Is Canva Down Right Now?,200
free,https://www.pcmag.com/picks/best-free-software,www.pcmag.com,Pcmag.com - Is PC Magazine Down Right Now?,200
worryfree,https://help.yahoo.com/kb/search/SLN2244.html?impressions=true,help.yahoo.com,Help.yahoo.com - Is Help Down Right Now?,200
